id_recensione,nome_vino,cantina,regione,denominazione,vitigno,annata,punteggio,fascia_punteggio,prezzo_usd,fascia_prezzo_usd,recensore,nota_degustazione,punti_per_dollaro
455,Barale Fratelli 2007 Vigna Castellero  (Barolo),Barale Fratelli,Piemonte,Barolo,Nebbiolo,2007,92,90-94 Ottimo,69.0,4. Da 40 a 74,Non indicato,"Barolo Castellero opens with vibrant tones of red cherry and cassis with elegant tones of licorice, cola, mesquite smoke and dried lavender flowers. It's a nuanced, feminine expression of Nebbiolo with impressive complexity and solid tannins at the back.",1.33
456,Batasiolo 2013 Boscareto  (Barolo),Batasiolo,Piemonte,Barolo,Nebbiolo,2013,92,90-94 Ottimo,79.0,5. 75 e oltre,Kerin O'Keefe,"Underbrush, new leather, menthol, culinary spice, dark fruit and toast aromas take center stage in this wine. The elegantly structured and linear palate delivers red cherry, strawberry, cinnamon and white pepper flavors set against bright acidity and taut, fin",1.16
457,Bava 2015 Libera  (Barbera d'Asti),Bava,Piemonte,Barbera d'Asti,Barbera,2015,90,90-94 Ottimo,24.0,2. Da 15 a 24,Kerin O'Keefe,"Aromas of black-skinned berry, violet and underbrush lift from the glass. The juicy lively palate presents red cherry, crushed raspberry and a hint of truffle set against fresh acidity and polished tannins. Enjoy through 2022.",3.75
458,Bel Colle 2011 Monvigliero  (Barolo),Bel Colle,Piemonte,Barolo,Nebbiolo,2011,91,90-94 Ottimo,70.0,4. Da 40 a 74,Kerin O'Keefe,"Truffle, underbrush, dark berry, mocha and grilled sage aromas unfold in the glass. The firm palate delivers smoke, raw berry, baking spice, anise and a sprinkling of aromatic herb while bracing tannins provide the backbone.",1.3
459,Bel Colle 2012 Simposio  (Barolo),Bel Colle,Piemonte,Barolo,Nebbiolo,2012,95,95-100 Eccezionale,60.0,4. Da 40 a 74,Kerin O'Keefe,"Enticing scents of ripe berry, underbrush, grilled herb and eucalyptus mingle together along with an underlying fragrance of rose petal. Elegant and fresh, the impeccably balanced palate delivers tart red cherry, cake spice, white pepper and mineral nuances al",1.58
460,Bella Bollè 2011  Moscato d'Asti,Bella Bollè,Piemonte,Moscato d'Asti,Moscato,2011,85,80-86 Buono,9.0,1. Sotto 15,Non indicato,"Packaged in an electric blue bottle, Bella Bollè is a soft, foamy sweet sparkler with bright aromas of peach blossom, dried ginger, sage, white flower and musky soap. The quality of the bubbles is creamy and rich.",9.44
461,Beni di Batasiolo 2003  Barolo,Beni di Batasiolo,Piemonte,Barolo,Nebbiolo,2003,87,87-89 Molto buono,43.0,4. Da 40 a 74,Non indicato,"The color is showing serious signs of browning, and the nose already has mushroom and very earthy aromas mingled in with the fresh fruit. Probably at its peak, and unlikely to get better, it is however a nice example of a mature Barolo, but not a wine for the ",2.02
462,Beni di Batasiolo 2006 Vigneto Boscareto  (Barolo),Beni di Batasiolo,Piemonte,Barolo,Nebbiolo,2006,91,90-94 Ottimo,75.0,5. 75 e oltre,Non indicato,"Aged in large oak casks, this shows natural intensity and purity that is evident its quality of fruit and elegant nature. Aromas include ginger, forest berry, white truffle and cola. The tannins are fine and silky.",1.21
463,Bera 2009 Riserva  (Barbaresco),Bera,Piemonte,Barbaresco,Nebbiolo,2009,90,90-94 Ottimo,40.0,4. Da 40 a 74,Kerin O'Keefe,"Rose petal, violet, tilled earth, leather and a whiff of pastry cream lead the nose. The ripe palate delivers succulent wild cherry accented with cracked black pepper and cinnamon supported by assertive tannins. It's delicious and structured but also forward, ",2.25
464,Bera 2010 Riserva  (Barbaresco),Bera,Piemonte,Barbaresco,Nebbiolo,2010,88,87-89 Molto buono,48.0,4. Da 40 a 74,Kerin O'Keefe,"This opens with scents of dark berry, toast and a whiff of graphite. On the tense palate, notes of sage, aniseed and tobacco add depth to the core of raw red cherry while bracing tannins offer support. It's still primary so give it time. Drink 2018-2025.",1.83
465,Bera 2012  Barbaresco,Bera,Piemonte,Barbaresco,Nebbiolo,2012,92,90-94 Ottimo,40.0,4. Da 40 a 74,Kerin O'Keefe,"This offers alluring aromas of ripe berry, iris and a whiff of baking spice. The savory palate boasts succulent wild cherry, raspberry, aniseed and tobacco accompanied by ripe, chewy tannins and bright acidity. It's still young but will develop complexity. Dri",2.3
466,Bersano 2009 Costalunga  (Barbera d'Asti),Bersano,Piemonte,Barbera d'Asti,Barbera,2009,88,87-89 Molto buono,10.0,1. Sotto 15,Non indicato,"Blackberry, tobacco and spice flavors give this an appropriate air of sophistication. It should pair with pizza or pasta.",8.8
467,Bersano 2012 Mantico  (Barbaresco),Bersano,Piemonte,Barbaresco,Nebbiolo,2012,93,90-94 Ottimo,50.0,4. Da 40 a 74,Kerin O'Keefe,"Menthol, dark berry, violet and cake spice aromas lead the way on this striking wine. It's still young and nervous, with tight tannins, but it also shows black cherry, white pepper, clove and mocha. Firm, velvety tannins and bright acidity provide the backbone",1.86
468,Bersano 2015 Monteolivo  (Moscato d'Asti),Bersano,Piemonte,Moscato d'Asti,Moscato,2015,88,87-89 Molto buono,19.0,2. Da 15 a 24,Kerin O'Keefe,"Aromas of citrus blossom, white stone fruit and sage lead the nose on this bright, frothy dessert wine. The rich palate doles out lemon, tangerine zest and apricot offset by fresh acidity and a soft mousse.",4.63
469,Boasso 2012 Gabutti  (Barolo),Boasso,Piemonte,Barolo,Nebbiolo,2012,88,87-89 Molto buono,53.0,4. Da 40 a 74,Kerin O'Keefe,"Oak, ripe berry, toast, menthol and vanilla aromas set the tone. On the bracing palate, notes of mocha, espresso and licorice accent dried black cherry while astringent tannins leave a raspy finish.",1.66
470,Borgo Maragliano 2011 Brachetto (Piedmont),Borgo Maragliano,Piemonte,Piedmont,Brachetto,2011,85,80-86 Buono,19.0,2. Da 15 a 24,Non indicato,"Truly enjoyable, this has loads of fizzy bubbles and sweet tones of strawberry and raspberry tart. This sweet, sparkling red wine is made with low atmospheric pressure, giving it a soft, creamy feel.",4.47
471,Borgogno 2011 Fossati  (Barolo),Borgogno,Piemonte,Barolo,Nebbiolo,2011,89,87-89 Molto buono,115.0,5. 75 e oltre,Kerin O'Keefe,"This offers aromas of pressed rose, cherry marinated in spirits, aromatic herb and menthol. The bracing palate shows raw red cherry, clove, white pepper and a hint of mocha while assertive tannins and racy acidity provide the framework. It's still young and ag",0.77
472,Borgogno F.lli Serio e Battista 2009  Barbera d'Alba Superiore,Borgogno F.lli Serio e Battista,Piemonte,Barbera d'Alba Superiore,Barbera,2009,88,87-89 Molto buono,20.0,2. Da 15 a 24,Kerin O'Keefe,"A delicious, classic Barbera with a dense core of rich black cherry and spice balanced by fresh acidity. Well made, with a long, clean finish, this is a perfect match for barbecued meats.",4.4
473,Borgogno F.lli Serio e Battista 2012  Barolo,Borgogno F.lli Serio e Battista,Piemonte,Barolo,Nebbiolo,2012,87,87-89 Molto buono,35.0,3. Da 25 a 39,Kerin O'Keefe,"Berry, menthol and a hint of espresso aromas lead the way while the straightforward palate shows mature black-skinned berry, coffee and a hint of licorice. It's already approachable. Drink through 2020.",2.49
474,Boroli 2010 Villero  (Barolo),Boroli,Piemonte,Barolo,Nebbiolo,2010,88,87-89 Molto buono,77.0,5. 75 e oltre,Kerin O'Keefe,"This retro-styled wine displays its new-wood influence. It opens with aromas of coconut, oak extract, coffee and espresso that continue onto the palate along with a hint of mint and spice. But there's not enough fruit richness to support the evident oak and dr",1.14
475,Bosio 2007  Barbaresco,Bosio,Piemonte,Barbaresco,Nebbiolo,2007,89,87-89 Molto buono,32.0,3. Da 25 a 39,Non indicato,"This is aged for two years in French oak to shape a complex and layered bouquet that bears notes of red currant, smoked meat and exotic spice. The palate is firm, finely textured and long lasting.",2.78
476,Bosio 2007  Barolo,Bosio,Piemonte,Barolo,Nebbiolo,2007,90,90-94 Ottimo,42.0,4. Da 40 a 74,Non indicato,"Luca Bosio's elegant Barolo opens with pretty aromas of currant, dried lavender, blackberry and crisp forest berry. The structure is solid and firm, and the tannins have a dry, silky quality.",2.14
477,Bosio 2010 Boschi dei Signori  (Barolo),Bosio,Piemonte,Barolo,Nebbiolo,2010,87,87-89 Molto buono,44.0,4. Da 40 a 74,Kerin O'Keefe,"Funky aromas of barnyard eventually burn off to reveal game, animal, rubber, earth and leather. The palate displays porcini mushroom with raw cherry, prune, nutmeg and dried sage. There's not much complexity and it's not an ager so enjoy over the next few year",1.98
478,Braida di Giacomo Bologna 2013 Montebruna  (Barbera d'Asti),Braida di Giacomo Bologna,Piemonte,Barbera d'Asti,Barbera,2013,88,87-89 Molto buono,23.0,2. Da 15 a 24,Kerin O'Keefe,"Aromas of black raspberry, violet, baking spice and a whiff of game lead the nose. The chewy palate offers juicy sour cherry, ground pepper and licorice alongside racy acidity and round tannins. It's meant to be drunk young so enjoy soon.",3.83
479,Brezza 2008 Bricco Sarmassa  (Barolo),Brezza,Piemonte,Barolo,Nebbiolo,2008,91,90-94 Ottimo,62.0,4. Da 40 a 74,Non indicato,"This opens with a bright fruit tone backed by notes of raw spice, fresh ginger, cola and dried herb. The palate shows clean, bold intensity thanks to the firm, polished nature of the tannins.",1.47
480,Brezza 2011  Barbera d'Alba Superiore,Brezza,Piemonte,Barbera d'Alba Superiore,Barbera,2011,90,90-94 Ottimo,30.0,3. Da 25 a 39,Kerin O'Keefe,"Mouthwatering aromas of dark berry, cooking spice and cured meat lead the nose on this bold wine. The savory palate doles out layers of mature black cherry, blackberry, ground black pepper and savory herb alongside firm acidity and velvety tannins. Drink throu",3.0
481,Brezza 2012  Barbera d'Alba Superiore,Brezza,Piemonte,Barbera d'Alba Superiore,Barbera,2012,92,90-94 Ottimo,30.0,3. Da 25 a 39,Kerin O'Keefe,"Mature dark-skinned berry, leather, forest floor, eucalyptus and dark cooking spice aromas come together in the glass. The delicious palate doles out juicy black cherry, blackberry, white pepper, clove and licorice alongside round, chewy tannins.",3.07
482,Brezza 2012  Barolo,Brezza,Piemonte,Barolo,Nebbiolo,2012,88,87-89 Molto buono,46.0,4. Da 40 a 74,Kerin O'Keefe,"Aromas of menthol, ripe berry, dark spice and a balsamic note lead the nose. On the straightforward palate, star anise accents dried cherry while firm tannins provide support.",1.91
483,Brezza 2013 Castellero  (Barolo),Brezza,Piemonte,Barolo,Nebbiolo,2013,94,90-94 Ottimo,50.0,4. Da 40 a 74,Kerin O'Keefe,"Violet, iris, perfumed berry, pine forest and baking spice aromas mingle in this fragrant, precise wine. The linear, focused palate offers cranberry, pomegranate, licorice and white pepper flavors alongside a backbone of vibrant acidity and youthfully austere ",1.88
484,Bric Cenciurio 2012 Monrobiolo di Bussia  (Barolo),Bric Cenciurio,Piemonte,Barolo,Nebbiolo,2012,88,87-89 Molto buono,72.0,4. Da 40 a 74,Kerin O'Keefe,"Aromas of toast, ripe berry, clove and mocha lead the nose. The palate shows tart cherry, raw strawberry, anise and a hint of espresso alongside tightly wound, fine-grained tannins that grip the finish.",1.22
485,Bricco dei Guazzi 2007  Barbera del Monferrato,Bricco dei Guazzi,Piemonte,Barbera del Monferrato,Barbera,2007,87,87-89 Molto buono,24.0,2. Da 15 a 24,Non indicato,"Here's a simpatico Barbera from Monferrato with bright berry and cherry notes followed by a slightly thicker, more substantial texture. You'll get drying tannins and bright acidity that keeps the palate polished and clean.",3.62
486,Bricco dei Guazzi 2007  Gavi di Gavi,Bricco dei Guazzi,Piemonte,Gavi di Gavi,Cortese,2007,87,87-89 Molto buono,20.0,2. Da 15 a 24,Non indicato,The nose is all gardenia and pear enveloped by citrus. The crisp palate doesn't have a great deal of intensity but compensates with very pleasant flavors of pear drop and nettle. Enjoy with fish in a citrus sauce.,4.35
487,Broccardo 2012 I Tre Pais  (Barolo),Broccardo,Piemonte,Barolo,Nebbiolo,2012,88,87-89 Molto buono,50.0,4. Da 40 a 74,Kerin O'Keefe,"This opens with aromas of oak, toast and espresso that carry over to the firmly structured palate along with herb and dried black cherry. Austere tannins clench the finish.",1.76
488,Broglia 2009 La Meirana  (Gavi),Broglia,Piemonte,Gavi,Cortese,2009,87,87-89 Molto buono,24.0,2. Da 15 a 24,Non indicato,"One of the best qualities of Gavi is that tight, mineral note of talc powder or crushed stone that holds it all together. La Meirana is exemplary in this regard making this crisp wine perfect for fresh spring asparagus or a local Piedmont speciality such as sf",3.62
489,Broglia 2011 Bruno Broglia  (Cortese di Gavi),Broglia,Piemonte,Cortese di Gavi,Cortese,2011,86,80-86 Buono,25.0,3. Da 25 a 39,Kerin O'Keefe,"This Gavi has delicate floral aromas of peach blossom and Spanish broom accompanied by restrained citrus and pear flavors. Linear with crisp acidity, this would pair well with moderately seasoned fish dishes.",3.44
490,Broglia 2014 La Meirana del Comune di Gavi  (Gavi),Broglia,Piemonte,Gavi,Cortese,2014,85,80-86 Buono,15.0,2. Da 15 a 24,Kerin O'Keefe,"Lightly scented, this opens with aromas suggesting white spring flower and orchard fruit. The rather lean, racy palate offers unripe apple, a hint of citrus and a medicinal note alongside brisk acidity.",5.67
491,Bruno Rocca 2012 Coparossa  (Barbaresco),Bruno Rocca,Piemonte,Barbaresco,Nebbiolo,2012,88,87-89 Molto buono,80.0,5. 75 e oltre,Kerin O'Keefe,"This opens with aromas of red berry, espresso and a whiff of sawdust. On the palate, raw red cherry is backed up by licorice, toast and roasted coffee bean but it lacks the fruit richness needed to stand up to the oak and the youthfully raspy tannins which lea",1.1
492,Ca' Viola 2006 Sotto Castello  (Barolo),Ca' Viola,Piemonte,Barolo,Nebbiolo,2006,92,90-94 Ottimo,59.0,4. Da 40 a 74,Non indicato,"This boasts a bright ruby color, and it shows fine nuances of wild fruit, dried ginger, licorice and dried tobacco. The palate finishes with smooth, silky tannins.",1.56
493,Ca' del Baio 2011 Bric del Baio Nebbiolo (Langhe),Ca' del Baio,Piemonte,Langhe,Nebbiolo,2011,87,87-89 Molto buono,25.0,3. Da 25 a 39,Kerin O'Keefe,"This young Nebbiolo is loaded with ripe red cherry and black raspberry sensations accented with notes of white pepper. It's straightforward, with a round, soft palate and velvety tannins. Not an ager so enjoy this soon.",3.48
494,Ca' del Baio 2013 Pora  (Barbaresco),Ca' del Baio,Piemonte,Barbaresco,Nebbiolo,2013,87,87-89 Molto buono,65.0,4. Da 40 a 74,Kerin O'Keefe,"This opens with aromas suggesting underbrush, crushed herb and blue flower. The palate is tightly wound and rather closed, showing hints of orange zest and raw cranberry. Racy acidity and austere tannins clench the finish.",1.34
495,Ca' del Baio 2014 Autinbej  (Barbaresco),Ca' del Baio,Piemonte,Barbaresco,Nebbiolo,2014,88,87-89 Molto buono,37.0,3. Da 25 a 39,Kerin O'Keefe,"Dark spice, camphor, menthol and crushed herb aromas take center stage in this wine. The palate offers dried black cherry, mocha and licorice flavors alongside assertive, close-grained tannins. A hint of candied orange zest signals the close.",2.38
496,Ca'Romè 2005 Vigna Rapet  (Barolo),Ca'Romè,Piemonte,Barolo,Nebbiolo,2005,88,87-89 Molto buono,112.0,5. 75 e oltre,Non indicato,"This vintage of Rapet shows vibrant fruit flavors that stretch into the realm of over ripeness. The aromas include stewy plum, raspberry and strawberry and are brought in line thanks to contrasting notes of mineral and white mushroom. It offers bursting berry ",0.79
497,Ca'Romè 2006 Maria di Brün  (Barbaresco),Ca'Romè,Piemonte,Barbaresco,Nebbiolo,2006,88,87-89 Molto buono,95.0,5. 75 e oltre,Non indicato,"This is a subdued and somewhat neutral expression of Nebbiolo with measured aromas of black fruit, plum, black currant and moist earth. The wine is definitely more lively in the mouth where it picks up points thanks to its firm disposition and lingering flavor",0.93
498,Ca'Romè 2012 Cerretta  (Barolo),Ca'Romè,Piemonte,Barolo,Nebbiolo,2012,90,90-94 Ottimo,103.0,5. 75 e oltre,Kerin O'Keefe,"Aromas of oak, toast, espresso and a whiff of violet come together. The firmly structured palate offers dried black cherry, orange zest and licorice alongside bracing tannins.",0.87
499,Cantina Massara Burlotto 2012  Barolo,Cantina Massara Burlotto,Piemonte,Barolo,Nebbiolo,2012,92,90-94 Ottimo,52.0,4. Da 40 a 74,Kerin O'Keefe,"Underbrush, truffle, baking spice, leather and tobacco aromas segue over to the smooth full-bodied palate along with raspberry jam, licorice and clove. Seasoned polished tannins provide elegance and structure. Drink through 2027.",1.77
500,Cantina del Pino 2011  Barbaresco,Cantina del Pino,Piemonte,Barbaresco,Nebbiolo,2011,90,90-94 Ottimo,44.0,4. Da 40 a 74,Kerin O'Keefe,"Crushed rose, pressed violet, perfumed berry, sage and a balsamic note are just some of the aromas you'll find on this full-bodied red. The firm palate offers dried black cherry, black pepper and licorice alongside tightly knit tannins and the subtle warmth of",2.05
501,Cantina del Pino 2013 Gallina  (Barbaresco),Cantina del Pino,Piemonte,Barbaresco,Nebbiolo,2013,89,87-89 Molto buono,45.0,4. Da 40 a 74,Kerin O'Keefe,"This wine's chopped herb, dark culinary spice, eucalyptus and oak aromas unfold in the glass. The firm palate offers raw cherry, ground clove, star anise and tobacco set against close-grained tannins that grip the finish.",1.98
502,CarlindePaolo 2009 Cursus Vitae  (Barbera d'Asti),CarlindePaolo,Piemonte,Barbera d'Asti,Barbera,2009,86,80-86 Buono,15.0,2. Da 15 a 24,Non indicato,"Aged only in stainless steel, this youthful Barbera d'Asti shows cheerful aromas of ripe fruit and sweet berries. The wine does a very nice job of balancing its naturally fresh acidity with the bright, pristine nature of its fruit.",5.73
503,Cascina Ballarin 2012 Bricco Rocca  (Barolo),Cascina Ballarin,Piemonte,Barolo,Nebbiolo,2012,91,90-94 Ottimo,59.0,4. Da 40 a 74,Kerin O'Keefe,"Aromas of toast, mocha, dark berry, roasted herb and scorched soil slowly come together. The ripe, concentrated palate offers fleshy dark-skinned berry, clove and tobacco alongside a tannic backbone. Drink 2019-2024.",1.54
504,Cascina Corte di Barosi Alessandro 2007 Vigna Pirochetta  (Dolcetto di Dogliani),Cascina Corte di Barosi Alessandro,Piemonte,Dolcetto di Dogliani,Dolcetto,2007,88,87-89 Molto buono,20.0,2. Da 15 a 24,Non indicato,"This organically farmed Dolcetto delivers surprising sophistication with tones of wild mushroom and spice behind bright red fruit and berry. The wine is slightly tannic but closes with a smooth, polished texture.",4.4
505,Cascina Cà Rossa 2006 Monpissano Riserva  (Roero),Cascina Cà Rossa,Piemonte,Roero,Nebbiolo,2006,87,87-89 Molto buono,45.0,4. Da 40 a 74,Non indicato,"Bone dry and extremely tannic, this Roero Riserva offers interesting notes of wild berries, candied fruit, orange zest and wild flowers. It's tight, firm and sharp on the palate.",1.93
506,Cascina Liuzzi 2012 Sil Nizza  (Barbera d'Asti Superiore),Cascina Liuzzi,Piemonte,Barbera d'Asti Superiore,Barbera,2012,90,90-94 Ottimo,18.0,2. Da 15 a 24,Kerin O'Keefe,"Firm and full-bodied, this opens with aromas of mature plum, underbrush, baked earth, vanilla and exotic spice. The high-toned, chewy palate doles out ripe black cherry, raspberry jam, vanilla, mocha, white pepper and mint alongside polished tannins.",5.0
507,Cascina Luisin 2012 Paolin  (Barbaresco),Cascina Luisin,Piemonte,Barbaresco,Nebbiolo,2012,88,87-89 Molto buono,35.0,3. Da 25 a 39,Kerin O'Keefe,"This opens with aromas of red rose, wild berry, scorched earth, leather and a whiff of toast. On the palate, notes of coconut and grilled herb accent a core of raw red berry while tightly packed tannins offer support.",2.51
508,Cascina delle Rose 2010 Rio Sordo  (Barbaresco),Cascina delle Rose,Piemonte,Barbaresco,Nebbiolo,2010,94,90-94 Ottimo,50.0,4. Da 40 a 74,Kerin O'Keefe,"Cascina delle Rose is one of the denomination's brightest gems and its Rio Sordo is a textbook Barbaresco. It has an alluring and multifaceted bouquet of lilac, violet and wisteria, along with hints of spice, truffle and earth. The palate is focused, with inte",1.88
509,Cascina delle Rose 2012 Donna Elena  (Barbera d'Alba Superiore),Cascina delle Rose,Piemonte,Barbera d'Alba Superiore,Barbera,2012,92,90-94 Ottimo,34.0,3. Da 25 a 39,Kerin O'Keefe,"Bold and delicious, this opens with earthy aromas of mature black-skinned fruit, truffle, scorched earth and a whiff of game. The savory, full-bodied palate doles out juicy black cherry, blackberry, licorice, and baking spice alongside bright acidity and refin",2.71
510,Cascina delle Rose 2013 Nebbiolo (Langhe),Cascina delle Rose,Piemonte,Langhe,Nebbiolo,2013,92,90-94 Ottimo,30.0,3. Da 25 a 39,Kerin O'Keefe,"Aged in steel, this vibrant wine shows Nebbiolo's more elegant and youthful side. It weaves together rose, violet, perfumed berries, bright cherry, crushed raspberry and sweet baking spices alongside supple tannins and fresh acidity. Enjoy it soon to capture t",3.07
511,Castellari Bergaglio 2013 Rovereto Vignavecchia  (Gavi),Castellari Bergaglio,Piemonte,Gavi,Cortese,2013,89,87-89 Molto buono,32.0,3. Da 25 a 39,Kerin O'Keefe,"Aromas of green apple, tuberose and a whiff of bread crust meld together on this vibrant white. The palate offers honeydew melon, white peach, bread crust and tangerine while tangy acidity gives it a crisp finish.",2.78
512,Castello del Poggio 2013  Barbera d'Asti,Castello del Poggio,Piemonte,Barbera d'Asti,Barbera,2013,87,87-89 Molto buono,16.0,2. Da 15 a 24,Kerin O'Keefe,"Fresh and fruity, this easy-drinking red delivers aromas and flavors of black cherry, blackberry, black pepper and a hint of anise. Thanks to bright acidity, it can be paired with almost any dish.",5.44
513,Castello di Neive 2009 Albesani Santo Stefano Riserva  (Barbaresco),Castello di Neive,Piemonte,Barbaresco,Nebbiolo,2009,90,90-94 Ottimo,75.0,5. 75 e oltre,Kerin O'Keefe,"Leather, berry, toast, crushed rose and herbs are some of the scents that emerge. The palate displays crushed cherry, black pepper, licorice and balsamic notes alongside youthfully aggressive, tightly packed tannins that need another few years to unwind.",1.2
514,Castello di Neive 2011 Metodo Classico Pinot Nero (Piemonte),Castello di Neive,Piemonte,Piemonte,Pinot Nero,2011,90,90-94 Ottimo,45.0,4. Da 40 a 74,Kerin O'Keefe,"Made entirely with Pinot Nero, this elegant sparkler offers aromas of rose and red berry. The vibrant, focused palate delivers cherry, strawberry and a hint of cake spices alongside bright acidity and an elegant perlage.",2.0
515,Castello di Verduno 2010 Rabajà Riserva  (Barbaresco),Castello di Verduno,Piemonte,Barbaresco,Nebbiolo,2010,90,90-94 Ottimo,85.0,5. 75 e oltre,Kerin O'Keefe,"Baked black fruit, scorched earth, eucalyptus and a toasted note come together on the nose. The palate brings black cherry, with intense licorice and mint supported by tightly wound, fine-grained tannins. It ends on a coffee note. Drink 2018-2028.",1.06
516,Cavalier Bartolomeo 2012 San Lorenzo  (Barolo),Cavalier Bartolomeo,Piemonte,Barolo,Nebbiolo,2012,91,90-94 Ottimo,80.0,5. 75 e oltre,Kerin O'Keefe,"Black cherry steeped in spirits, truffle, pressed blue flower and cake spice aromas all come together on this along with a whiff of eucalyptus. The palate shows structure and some aging potential, offering dried black cherry, tobacco, clove and cinnamon alongs",1.14
517,Ceretto 2006 Blange Arneis (Langhe),Ceretto,Piemonte,Langhe,Arneis,2006,86,80-86 Buono,17.0,2. Da 15 a 24,Non indicato,"The Ceretto was surprisingly evolved for a 2006. A big, ripe, rich wine with flavors of pear, lychee and a hint of lime peel. Structurally, this is a wine that probably won't hold up well, but at the moment it is a pleasant wine. Just make sure you drink it ov",5.06
518,Ceretto 2009 Blangé Arneis (Langhe),Ceretto,Piemonte,Langhe,Arneis,2009,87,87-89 Molto buono,27.0,3. Da 25 a 39,Non indicato,"Blangé is something of an icon white wine that offers clean freshness and simplicity from a producer who brings us some of the most complex and sophisticated red wines on the planet. Here, however, the emphasis is on fun, good cheer and easy drinking.",3.22
519,Ceretto 2010 Brunate  (Barolo),Ceretto,Piemonte,Barolo,Nebbiolo,2010,90,90-94 Ottimo,110.0,5. 75 e oltre,Kerin O'Keefe,"Toasted oak, espresso and a whiff of tire rubber open the nose on this wine. The palate displays crushed black cherry alongside coffee, sweet vanilla and plum. Bracing tannins need time to integrate.",0.82
520,Ceretto 2011 Brunate  (Barolo),Ceretto,Piemonte,Barolo,Nebbiolo,2011,92,90-94 Ottimo,110.0,5. 75 e oltre,Kerin O'Keefe,"Pressed rose, woodland berry, sage and a whiff of exotic spice emerge on this firmly structured wine. The taut palate delivers mature black cherry, ground pepper, clove and licorice alongside tight, fine-grained tannins and the warmth of alcohol. Give it a few",0.84
521,Ceretto 2012  Barbaresco,Ceretto,Piemonte,Barbaresco,Nebbiolo,2012,88,87-89 Molto buono,50.0,4. Da 40 a 74,Kerin O'Keefe,"Toast, roasted coffee bean and anisette aromas lift from the glass. The tense palate offers dried cherry, toasted oak, star anise and a hint of white pepper alongside bracing tannins.",1.76
522,Ceretto 2012  Barolo,Ceretto,Piemonte,Barolo,Nebbiolo,2012,89,87-89 Molto buono,55.0,4. Da 40 a 74,Kerin O'Keefe,"This luminous red offers aromas of wild red berry, dark spice, menthol and a whiff of espresso. The ripe, rather straightforward palate offers raspberry, tart cherry, licorice, toast, mocha and tobacco alongside polished tannins. Drink 2017-2022.",1.62
523,Ceretto 2013 Bernardot  (Barbaresco),Ceretto,Piemonte,Barbaresco,Nebbiolo,2013,89,87-89 Molto buono,110.0,5. 75 e oltre,Kerin O'Keefe,"Aromas of French oak, espresso dried herb and a floral note lead the nose on this structured red. The palate is still quite primary and tight, showing cranberry, tart cherry, star anise and oak-driven spice alongside firm acidity and assertive, rather grainy t",0.81
524,Ciabot Berton 2009 Roggeri  (Barolo),Ciabot Berton,Piemonte,Barolo,Nebbiolo,2009,90,90-94 Ottimo,68.0,4. Da 40 a 74,Kerin O'Keefe,"This Barolo shows the forwardness of the vintage-it's delicious now. The fragrance shows ripe plum, balsamic herbs and a whiff of leather. The palate offers lush black cherry and plum flavors layered with coffee and chocolate notes and big but ripe tannins. Im",1.32
525,Ciabot Berton 2010 Rocchettevino Riserva  (Barolo),Ciabot Berton,Piemonte,Barolo,Nebbiolo,2010,91,90-94 Ottimo,85.0,5. 75 e oltre,Kerin O'Keefe,"Intense aromas of chopped mint, baking spice, graphite and red fruit emerge in the glass. The firm, elegant palate displays ripe black cherry, raspberry confiture, licorice and ground pepper framed in velvety tannins and fresh acidity. Drink 2018- 2028.",1.07
526,Cigliuti 2007 Vigne Erte  (Barbaresco),Cigliuti,Piemonte,Barbaresco,Nebbiolo,2007,92,90-94 Ottimo,67.0,4. Da 40 a 74,Non indicato,"Here's a rich and densely extracted Barbaresco from the Erte vineyard in Neive that will appeal to those who like a bigger, more extracted style of Nebbiolo. The wine is bursting with intense layers of black fruit, prune and plum followed by sweet tones of exo",1.37
527,Col dei Venti 2014 Tufoblu  (Barbaresco),Col dei Venti,Piemonte,Barbaresco,Nebbiolo,2014,90,90-94 Ottimo,32.0,3. Da 25 a 39,Kerin O'Keefe,"Leather, menthol, red berry and crushed herb aromas lead the way in this youthfully vibrant wine. Star anise and herb notes back up its core of red cherry and crushed strawberry fruit. Taut, fine-grained tannins and racy acidity provide the framework.",2.81
528,Collina San Ponzio 2014  Barbera d'Alba,Collina San Ponzio,Piemonte,Barbera d'Alba,Barbera,2014,86,80-86 Buono,17.0,2. Da 15 a 24,Kerin O'Keefe,"Fresh and fruity, this simple, easy-drinking red doles out black cherry, blackberry, white pepper and clove. Racy acidity brightens the juicy fruit flavors.",5.06
529,Conterno Fantino 2015  Dolcetto d'Alba,Conterno Fantino,Piemonte,Dolcetto d'Alba,Dolcetto,2015,88,87-89 Molto buono,21.0,2. Da 15 a 24,Kerin O'Keefe,"The aromas in this juicy Dolcetto suggest black cherry, violet and toasted almond while the palate offers ripe blackberry, white pepper and clove flavors. Rounded tannins provide support. Enjoy soon.",4.19
530,Cordero di Montezemolo 2012 Funtanì  (Barbera d'Alba Superiore),Cordero di Montezemolo,Piemonte,Barbera d'Alba Superiore,Barbera,2012,89,87-89 Molto buono,35.0,3. Da 25 a 39,Kerin O'Keefe,"Aromas of fig, eucalyptus, violet, chopped herbs and raspberry emerge on this full-bodied, fragrant offering. Made with 50-year-old vines, the structured palate boasts dried black cherry, tart red currant, oak-driven spice, espresso and anise alongside firm, f",2.54
